"BASF SE, Ludwigshafen a. Rhein, Germany"

,31/12/2008,31/12/2009,31/12/2010,31/12/2011,31/12/2012,31/12/2013,31/12/2014,31/12/2015,31/12/2016,31/12/2017,31/12/2018,31/12/2019,31/12/2020,31/12/2021,31/12/2022,31/12/2023,31/12/2024,31/12/2025
Currency,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR
A. Total Assets,"50,860,000,000.00","51,268,000,000.00","59,393,000,000.00","61,175,000,000.00","64,327,000,000.00","64,382,000,000.00","71,359,000,000.00","70,836,000,000.00","76,496,000,000.00","78,768,000,000.00","86,556,000,000.00","86,950,000,000.00","80,292,000,000.00","87,383,000,000.00","84,472,000,000.00","79,927,000,000.00","80,415,000,000.00","78,021,000,000.00"
   I. Total Current Assets,"21,274,000,000.00","19,587,000,000.00","24,861,000,000.00","27,088,000,000.00","28,789,000,000.00","27,258,000,000.00","27,420,000,000.00","24,566,000,000.00","25,946,000,000.00","31,145,000,000.00","43,221,000,000.00","30,990,000,000.00","29,868,000,000.00","35,051,000,000.00","37,422,000,000.00","31,472,000,000.00","31,232,000,000.00","31,684,000,000.00"
      a) Cash and Cash Equivalents,"2,776,000,000.00","1,835,000,000.00","1,493,000,000.00","2,048,000,000.00","1,777,000,000.00","1,815,000,000.00","1,718,000,000.00","2,241,000,000.00","1,375,000,000.00","6,495,000,000.00","2,300,000,000.00","2,427,000,000.00","4,330,000,000.00","2,624,000,000.00","2,516,000,000.00","2,624,000,000.00","2,914,000,000.00","2,670,000,000.00"
      b) Short Term Investments,"35,000,000.00","15,000,000.00","16,000,000.00","19,000,000.00","23,000,000.00","17,000,000.00","19,000,000.00","21,000,000.00","536,000,000.00","52,000,000.00","344,000,000.00","444,000,000.00","207,000,000.00","208,000,000.00","232,000,000.00","53,000,000.00","67,000,000.00","89,000,000.00"
      c) Inventory,"6,763,000,000.00","6,776,000,000.00","8,688,000,000.00","10,059,000,000.00","9,818,000,000.00","9,483,000,000.00","11,172,000,000.00","9,624,000,000.00","9,915,000,000.00","10,234,000,000.00","12,048,000,000.00","11,121,000,000.00","9,889,000,000.00","13,751,000,000.00","15,941,000,000.00","13,876,000,000.00","13,681,000,000.00","12,168,000,000.00"
      d) Net Receivables,"10,130,000,000.00","9,458,000,000.00","14,557,000,000.00","13,201,000,000.00","11,485,000,000.00","11,738,000,000.00","11,432,000,000.00","11,104,000,000.00","12,320,000,000.00","12,596,000,000.00","12,106,000,000.00","10,664,000,000.00","11,181,000,000.00","14,283,000,000.00","14,646,000,000.00","12,360,000,000.00","12,327,000,000.00","10,088,000,000.00"
      e) Other Current Assets,"11,700,000,000.00","10,961,000,000.00","704,000,000.00","14,125,000,000.00","14,399,000,000.00","2,947,000,000.00","3,189,000,000.00","12,680,000,000.00","14,120,000,000.00","1,768,000,000.00","16,423,000,000.00","6,334,000,000.00","4,261,000,000.00","4,185,000,000.00","4,087,000,000.00","2,559,000,000.00","2,243,000,000.00","6,669,000,000.00"
   II. Total Non Current Assets,"29,586,000,000.00","31,681,000,000.00","34,532,000,000.00","34,087,000,000.00","35,538,000,000.00","37,124,000,000.00","43,939,000,000.00","46,270,000,000.00","50,550,000,000.00","47,623,000,000.00","43,335,000,000.00","55,960,000,000.00","50,424,000,000.00","52,332,000,000.00","47,050,000,000.00","45,923,000,000.00","49,183,000,000.00","46,337,000,000.00"
      a) Long Term Investments,"3,058,000,000.00","2,944,000,000.00","3,021,000,000.00","2,427,000,000.00","2,647,000,000.00","4,750,000,000.00","3,766,000,000.00","4,941,000,000.00","4,716,000,000.00","5,269,000,000.00","2,429,000,000.00","15,200,000,000.00","13,127,000,000.00","12,750,000,000.00","7,889,000,000.00","8,275,000,000.00","6,908,000,000.00","6,484,000,000.00"
