"BASF SE, Ludwigshafen a. Rhein, Germany"

,31/12/2008,31/12/2009,31/12/2010,31/12/2011,31/12/2012,31/12/2013,31/12/2014,31/12/2015,31/12/2016,31/12/2017,31/12/2018,31/12/2019,31/12/2020,31/12/2021,31/12/2022,31/12/2023,31/12/2024,31/12/2025
Currency,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR
1. Revenue,"62,304,000,000.00","50,693,000,000.00","63,873,000,000.00","73,497,000,000.00","78,729,000,000.00","73,973,000,000.00","74,326,000,000.00","70,449,000,000.00","57,550,000,000.00","64,475,000,000.00","62,675,000,000.00","59,316,000,000.00","59,149,000,000.00","78,598,000,000.00","87,327,000,000.00","68,902,000,000.00","65,260,000,000.00","59,657,000,000.00"
2. Cost of Revenue,"46,455,000,000.00","36,682,000,000.00","45,310,000,000.00","53,986,000,000.00","58,022,000,000.00","55,483,000,000.00","55,839,000,000.00","51,372,000,000.00","39,265,000,000.00","43,929,000,000.00","44,319,000,000.00","43,061,000,000.00","44,040,000,000.00","58,801,000,000.00","66,260,000,000.00","52,506,000,000.00","48,174,000,000.00","45,415,000,000.00"
3. Gross Profit,"15,849,000,000.00","14,011,000,000.00","18,563,000,000.00","19,511,000,000.00","20,707,000,000.00","18,490,000,000.00","18,487,000,000.00","19,077,000,000.00","18,285,000,000.00","20,546,000,000.00","18,356,000,000.00","16,255,000,000.00","15,109,000,000.00","19,797,000,000.00","21,067,000,000.00","16,396,000,000.00","17,086,000,000.00","14,242,000,000.00"
4. Operating Expenses,"8,938,000,000.00","9,391,000,000.00","10,191,000,000.00","10,449,000,000.00","11,151,000,000.00","11,363,000,000.00","11,436,000,000.00","12,666,000,000.00","11,684,000,000.00","12,361,000,000.00","12,235,000,000.00","11,954,000,000.00","14,244,000,000.00","12,042,000,000.00","14,100,000,000.00","14,156,000,000.00","15,053,000,000.00","11,682,000,000.00"
   a) Selling General and Administrative Expenses,"6,835,000,000.00","6,800,000,000.00","7,838,000,000.00","8,638,000,000.00","9,036,000,000.00","8,789,000,000.00","8,852,000,000.00","9,491,000,000.00","9,101,000,000.00","9,674,000,000.00","10,014,000,000.00","9,222,000,000.00","8,725,000,000.00","9,822,000,000.00","11,133,000,000.00","10,294,000,000.00","10,248,000,000.00","8,852,000,000.00"
   b) Research and Development Expenses,"1,355,000,000.00","1,398,000,000.00","1,492,000,000.00","1,605,000,000.00","1,746,000,000.00","1,835,000,000.00","1,884,000,000.00","1,953,000,000.00","1,863,000,000.00","1,888,000,000.00","2,028,000,000.00","2,158,000,000.00","2,086,000,000.00","2,216,000,000.00","2,298,000,000.00","2,130,000,000.00","2,061,000,000.00","1,995,000,000.00"
5. Operating Income,"6,463,000,000.00","3,677,000,000.00","7,761,000,000.00","8,586,000,000.00","8,976,000,000.00","7,273,000,000.00","7,626,000,000.00","6,248,000,000.00","6,275,000,000.00","8,522,000,000.00","6,033,000,000.00","4,052,000,000.00","233,000,000.00","7,677,000,000.00","2,471,000,000.00","2,240,000,000.00","2,033,000,000.00","2,560,000,000.00"
   a) Interest Income,"175,000,000.00","134,000,000.00","150,000,000.00","189,000,000.00","247,000,000.00","268,000,000.00","363,000,000.00","362,000,000.00","271,000,000.00","196,000,000.00","206,000,000.00","218,000,000.00","182,000,000.00","239,000,000.00","373,000,000.00","322,000,000.00","371,000,000.00","338,000,000.00"
   b) Interest Expense,"558,000,000.00","812,000,000.00","821,000,000.00","771,000,000.00","1,724,000,000.00","958,000,000.00","959,000,000.00","905,000,000.00","898,000,000.00","891,000,000.00","678,000,000.00","819,000,000.00","625,000,000.00","597,000,000.00","721,000,000.00","971,000,000.00","923,000,000.00","820,000,000.00"
6. Total other income expenses net,"-688,000,000.00","-598,000,000.00","-388,000,000.00","336,000,000.00","-2,999,000,000.00","-673,000,000.00","-423,000,000.00","-700,000,000.00","-880,000,000.00","-705,000,000.00","-741,000,000.00","-899,000,000.00","-1,753,000,000.00","-229,000,000.00","-1,281,000,000.00","-820,000,000.00","36,000,000.00","-113,000,000.00"
7. Depreciation and Amortization,"3,180,000,000.00","3,740,000,000.00","3,393,000,000.00","3,419,000,000.00","3,561,000,000.00","3,196,000,000.00","3,455,000,000.00","4,448,000,000.00","3,936,000,000.00","4,202,000,000.00","2,943,000,000.00","3,660,000,000.00","3,805,000,000.00","3,800,000,000.00","3,886,000,000.00","3,921,000,000.00","4,648,000,000.00","3,697,000,000.00"
8. EBITDA,"9,342,000,000.00","7,643,000,000.00","11,702,000,000.00","14,084,000,000.00","10,185,000,000.00","10,872,000,000.00","11,045,000,000.00","10,901,000,000.00","9,824,000,000.00","11,652,000,000.00","8,650,000,000.00","7,574,000,000.00","3,573,000,000.00","10,837,000,000.00","10,216,000,000.00","6,202,000,000.00","7,771,000,000.00","6,257,000,000.00"
9. Income before Tax,"5,976,000,000.00","3,079,000,000.00","7,373,000,000.00","8,970,000,000.00","8,436,000,000.00","6,713,000,000.00","7,203,000,000.00","5,548,000,000.00","5,395,000,000.00","7,800,000,000.00","5,288,000,000.00","3,302,000,000.00","-1,562,000,000.00","7,448,000,000.00","1,190,000,000.00","1,420,000,000.00","2,069,000,000.00","2,447,000,000.00"
10. Income Tax Expense,"2,671,000,000.00","1,424,000,000.00","2,299,000,000.00","2,367,000,000.00","3,214,000,000.00","1,540,000,000.00","1,711,000,000.00","1,247,000,000.00","1,140,000,000.00","1,448,000,000.00","1,138,000,000.00","756,000,000.00","-91,000,000.00","1,430,000,000.00","1,581,000,000.00","1,041,000,000.00","616,000,000.00","907,000,000.00"
11. Net Income,"2,912,000,000.00","1,410,000,000.00","4,557,000,000.00","6,188,000,000.00","4,819,000,000.00","4,792,000,000.00","5,155,000,000.00","3,987,000,000.00","4,056,000,000.00","6,078,000,000.00","4,707,000,000.00","2,546,000,000.00","-1,471,000,000.00","5,523,000,000.00","-391,000,000.00","225,000,000.00","1,298,000,000.00","1,619,000,000.00"

Source,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data,Stock exchange listed companies - Financial Data
